"Date","Start_Time","Event_Type","Duration_Seconds","Seconds_Paused","Calories_Burned","Calories_Burned_Carbs","Calories_Burned_Fats","HR_Lowest","HR_Peak","HR_Average","UV_Exposure_Minutes","Total_Miles_Moved","Cardio_Benefit","Minutes_Under_50%_HR","Minutes_In_HRZ_Very_Light_50%_60%","Minutes_In_HRZ_Light_60%_70%","Minutes_In_HRZ_Moderate_70%_80%","Minutes_In_HRZ_Hard_80%_90%","Minutes_In_HRZ_Very_Hard_90%_Plus","HR_Finish","HR_Recovery_Rate_1_Min","HR_Recovery_Rate_2_Min","Recovery_Time_Seconds","Bike_Average_MPH","Bike_Max_MPH","Elevation_Highest_Feet","Elevation_Lowest_Feet","Elevation_Gain_Feet","Elevation_Loss_Feet","Climb_Rate_Feet_Per_Hour","Walk_Active_Seconds","Walk_Resting_Seconds","Wake_Up_Time","Seconds_Awake","Seconds_Asleep_Total","Seconds_Asleep_Restful","Seconds_Asleep_Light","Wake_Ups","Seconds_to_Fall_Asleep","Sleep_Efficiency","Sleep_Restoration","Sleep_HR_Resting","Sleep_Auto_Detect","GW_Plan_Name","GW_Reps_Performed","GW_Rounds_Performed","Golf_Course_Name","Golf_Course_Par","Golf_Total_Score","Golf_Par_or_Better","Golf_Pace_of_Play_Minutes","Golf_Longest_Drive_Yards"
"2016-01-01","2016-01-01 04:52:34","Sleep","23796","0","602","","","39","116","55","0","","","","","","","","","","","","","","","","","","","","","","2016-01-01 11:26:41","3472","20324","5565","14759","4","2244","94","Moderate","43","Manual","","","","","","","","",""
"2016-01-02","2016-01-02 04:40:23","Sleep","26074","0","653","","","43","94","54","0","","","","","","","","","","","","","","","","","","","","","","2016-01-02 11:52:28","1586","24487","5178","19309","4","538","96","Good","45","Manual","","","","","","","","",""
"2016-01-03","2016-01-03 04:20:40","Sleep","20498","0","521","","","38","87","52","0","","","","","","","","","","","","","","","","","","","","","","2016-01-03 09:21:25","4847","15650","7957","7693","5","1436","82","Moderate","42","Manual","","","","","","","","",""
"2016-01-03","2016-01-03 11:04:41","Exercise","8165","9","1623","721","902","82","165","124","0","","Maintaining","5","25","52","3","51","0","134","104","85","48960","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-04","2016-01-04 01:23:39","Sleep","37175","0","957","","","38","128","57","0","","","","","","","","","","","","","","","","","","","","","","2016-01-04 11:40:45","1797","35378","6438","28940","4","539","96","Good","43","Manual","","","","","","","","",""
"2016-01-05","2016-01-05 00:59:51","Sleep","23397","0","590","","","40","92","55","0","","","","","","","","","","","","","","","","","","","","","","2016-01-05 07:19:19","2306","21090","6169","14921","4","419","94","Moderate","44","Manual","","","","","","","","",""
"2016-01-06","2016-01-06 01:31:05","Sleep","23589","0","585","","","36","81","56","0","","","","","","","","","","","","","","","","","","","","","","2016-01-06 07:29:49","2844","20745","12061","8684","1","209","97","","37","Auto","","","","","","","","",""
"2016-01-06","2016-01-06 19:49:34","Run","3244","1","567","333","234","65","166","118","0","3.57330688777539","Highly improving","12","16","10","1","16","0","116","","","207360","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-06","2016-01-06 19:49:19","Run","3","1","0","0","0","","","","0","0","Light","1","0","0","0","0","0","","","","240","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-07","2016-01-07 02:13:34","Sleep","21417","0","542","","","40","81","56","0","","","","","","","","","","","","","","","","","","","","","","2016-01-07 08:08:02","4278","17139","6040","11099","10","1046","84","","45","Auto","","","","","","","","",""
"2016-01-08","2016-01-08 02:43:44","Sleep","21089","0","530","","","43","90","56","0","","","","","","","","","","","","","","","","","","","","","","2016-01-08 08:32:44","1795","19294","7655","11639","5","209","92","","46","Auto","","","","","","","","",""
