,Prev_Day,Bed_Time,Wake_Time,Awake_Dur,Light_Dur,Deep_Dur,Total_Dur,Nap_Dur,Window_Conf
0,2017-05-09,2017-05-09 23:33:00+00:00,2017-05-10 05:07:00+00:00,0 days 00:00:00.000000000,,,0 days 05:34:00.000000000,0 days 00:00:00.000000000,True
1,2017-05-10,2017-05-11 04:49:00+00:00,2017-05-11 15:15:00+00:00,0 days 00:00:00.000000000,,,0 days 10:26:00.000000000,0 days 00:00:00.000000000,True
2,2017-05-11,2017-05-12 02:17:00+00:00,2017-05-12 07:47:00+00:00,0 days 00:00:00.000000000,,,0 days 05:30:00.000000000,0 days 00:00:00.000000000,True
3,2017-05-23,2017-05-24 03:17:00+00:00,2017-05-24 11:54:00+00:00,0 days 00:00:00.000000000,,,0 days 08:37:00.000000000,0 days 00:00:00.000000000,True
4,2017-05-24,2017-05-25 05:14:00+00:00,2017-05-25 11:59:00+00:00,0 days 00:00:00.000000000,,,0 days 06:45:00.000000000,0 days 00:00:00.000000000,True
5,2017-05-25,2017-05-26 07:14:00+00:00,2017-05-26 12:52:00+00:00,0 days 00:00:00.000000000,,,0 days 05:38:00.000000000,0 days 00:00:00.000000000,True
6,2017-05-26,2017-05-27 03:48:00+00:00,2017-05-27 13:30:00+00:00,0 days 00:00:00.000000000,,,0 days 09:42:00.000000000,0 days 00:00:00.000000000,True
7,2017-05-27,2017-05-28 04:42:00+00:00,2017-05-28 13:52:00+00:00,0 days 00:00:00.000000000,,,0 days 09:10:00.000000000,0 days 00:00:00.000000000,True
8,2017-05-28,2017-05-29 05:19:00+00:00,2017-05-29 13:27:00+00:00,0 days 00:00:00.000000000,,,0 days 08:08:00.000000000,0 days 00:00:00.000000000,True
9,2017-05-29,2017-05-30 03:30:00+00:00,2017-05-30 11:58:00+00:00,0 days 00:00:00.000000000,,,0 days 08:28:00.000000000,0 days 00:00:00.000000000,True
10,2017-05-30,2017-05-31 06:13:00+00:00,2017-05-31 11:50:00+00:00,0 days 00:00:00.000000000,,,0 days 05:37:00.000000000,0 days 00:00:00.000000000,True
11,2017-06-01,2017-06-02 06:12:00+00:00,2017-06-02 11:42:00+00:00,0 days 00:00:00.000000000,,,0 days 05:30:00.000000000,0 days 00:00:00.000000000,True
12,2017-06-02,2017-06-03 07:10:00+00:00,2017-06-03 14:45:00+00:00,0 days 00:00:00.000000000,,,0 days 07:35:00.000000000,0 days 00:00:00.000000000,True
13,2017-06-03,2017-06-04 06:37:00+00:00,2017-06-04 13:36:00+00:00,0 days 00:00:00.000000000,,,0 days 06:59:00.000000000,0 days 00:00:00.000000000,True
14,2017-06-04,2017-06-05 06:01:00+00:00,2017-06-05 12:20:00+00:00,0 days 00:00:00.000000000,,,0 days 06:19:00.000000000,0 days 00:00:00.000000000,True
15,2017-06-05,2017-06-06 07:46:00+00:00,2017-06-06 12:43:00+00:00,0 days 00:00:00.000000000,,,0 days 04:57:00.000000000,0 days 00:00:00.000000000,True
16,2017-06-06,2017-06-07 06:32:00+00:00,2017-06-07 11:54:00+00:00,0 days 00:00:00.000000000,,,0 days 05:22:00.000000000,0 days 00:00:00.000000000,True
17,2017-06-07,2017-06-08 05:14:00+00:00,2017-06-08 11:49:00+00:00,0 days 00:00:00.000000000,,,0 days 06:35:00.000000000,0 days 00:00:00.000000000,True
